library,year,version,ccn
TensorFlow,2012,N/A,N/A
TensorFlow,2014,N/A,N/A
TensorFlow,2016,0.6.0,1.9
TensorFlow,2018,1.5.0,2.4
TensorFlow,2020,2.1.0,2.4
glide,2012,N/A,N/A
glide,2014,2.0.2,1.8
glide,2016,3.7.0,1.5
glide,2018,4.5.0,1.5
glide,2020,4.11.0,1.5
iced,2012,N/A,N/A
iced,2014,N/A,N/A
iced,2016,N/A,N/A
iced,2018,0.1.0-alpha,1.6
iced,2020,core-0.2.0,1.6
requests,2012,0.9.1,2.5
requests,2014,2.2.0,2.5
requests,2016,2.9.2,2.3
requests,2018,2.19.0,2
requests,2020,2.24.0,2
